"subid"	"verb"	"noun"	"dir"	"big"	"small"
"148"	"anon-147.json"	"are"	"cake"	"na"	2	2
"149"	"anon-147.json"	"are"	"duckling"	"na"	NA	4
"150"	"anon-147.json"	"are"	"elephant"	"na"	2	3
"151"	"anon-147.json"	"are"	"gnome"	"na"	3	3
"152"	"anon-147.json"	"are"	"hippo"	"na"	3	4
"153"	"anon-147.json"	"are"	"house"	"na"	3	3
"154"	"anon-147.json"	"are"	"monkey"	"na"	2	4
"155"	"anon-147.json"	"are"	"plane"	"na"	3	3
"156"	"anon-147.json"	"are"	"umbrella"	"na"	2	4
"157"	"anon-157.json"	"are"	"baby"	"na"	3	3
"158"	"anon-157.json"	"are"	"balloon"	"na"	4	2
"159"	"anon-157.json"	"are"	"bunny"	"na"	4	3
"160"	"anon-157.json"	"are"	"cake"	"na"	4	2
"161"	"anon-157.json"	"are"	"duckling"	"na"	4	2
"162"	"anon-157.json"	"are"	"elephant"	"na"	3	3
"163"	"anon-157.json"	"are"	"gnome"	"na"	3	3
"164"	"anon-157.json"	"are"	"hippo"	"na"	4	3
"165"	"anon-157.json"	"are"	"house"	"na"	3	3
"166"	"anon-157.json"	"are"	"monkey"	"na"	4	2
"167"	"anon-157.json"	"are"	"plane"	"na"	3	3
"168"	"anon-157.json"	"are"	"umbrella"	"na"	3	3
"169"	"anon-169.json"	"are"	"baby"	"na"	2	2
"170"	"anon-169.json"	"are"	"balloon"	"na"	2	2
"171"	"anon-169.json"	"are"	"bunny"	"na"	2	2
"172"	"anon-169.json"	"are"	"cake"	"na"	2	3
"173"	"anon-169.json"	"are"	"duckling"	"na"	2	2
"174"	"anon-169.json"	"are"	"elephant"	"na"	2	3
"175"	"anon-169.json"	"are"	"gnome"	"na"	2	2
"176"	"anon-169.json"	"are"	"hippo"	"na"	3	2
"177"	"anon-169.json"	"are"	"house"	"na"	2	2
"178"	"anon-169.json"	"are"	"monkey"	"na"	2	3
"179"	"anon-169.json"	"are"	"plane"	"na"	2	2
"180"	"anon-169.json"	"are"	"umbrella"	"na"	2	2
