"subid"	"verb"	"noun"	"dir"	"big"	"small"
"159"	"anon-131.json"	"are"	"blueberry"	"na"	2	1
"160"	"anon-131.json"	"are"	"candy"	"na"	2	1
"161"	"anon-131.json"	"are"	"earring"	"na"	2	1
"162"	"anon-131.json"	"are"	"fly"	"na"	1	2
"163"	"anon-131.json"	"are"	"hazelnut"	"na"	1	1
"164"	"anon-131.json"	"are"	"ladybug"	"na"	2	2
"165"	"anon-131.json"	"are"	"pill"	"na"	3	1
"166"	"anon-131.json"	"are"	"pin"	"na"	2	1
"167"	"anon-131.json"	"are"	"seed"	"na"	2	1
"168"	"anon-131.json"	"are"	"tack"	"na"	2	1
"169"	"anon-14.json"	"are"	"ant"	"na"	3	2
"170"	"anon-14.json"	"are"	"bean"	"na"	3	2
"171"	"anon-14.json"	"are"	"blueberry"	"na"	3	2
"172"	"anon-14.json"	"are"	"candy"	"na"	2	2
"173"	"anon-14.json"	"are"	"earring"	"na"	3	2
"174"	"anon-14.json"	"are"	"fly"	"na"	3	2
"175"	"anon-14.json"	"are"	"hazelnut"	"na"	3	2
"176"	"anon-14.json"	"are"	"ladybug"	"na"	2	2
"177"	"anon-14.json"	"are"	"pill"	"na"	3	2
"178"	"anon-14.json"	"are"	"pin"	"na"	3	2
"179"	"anon-14.json"	"are"	"seed"	"na"	3	2
"180"	"anon-14.json"	"are"	"tack"	"na"	NA	2
"181"	"anon-141.json"	"are"	"ant"	"na"	3	2
"182"	"anon-141.json"	"are"	"bean"	"na"	3	2
"183"	"anon-141.json"	"are"	"blueberry"	"na"	5	1
"184"	"anon-141.json"	"are"	"candy"	"na"	4	1
"185"	"anon-141.json"	"are"	"earring"	"na"	NA	1
"186"	"anon-141.json"	"are"	"fly"	"na"	6	2
"187"	"anon-141.json"	"are"	"hazelnut"	"na"	5	1
"188"	"anon-141.json"	"are"	"ladybug"	"na"	3	1
"189"	"anon-141.json"	"are"	"pill"	"na"	6	1
"190"	"anon-141.json"	"are"	"pin"	"na"	6	1
"191"	"anon-141.json"	"are"	"seed"	"na"	5	2
"192"	"anon-141.json"	"are"	"tack"	"na"	4	1
"193"	"anon-145.json"	"are"	"ant"	"na"	6	2
"194"	"anon-145.json"	"are"	"bean"	"na"	6	1
"195"	"anon-145.json"	"are"	"blueberry"	"na"	6	1
"196"	"anon-145.json"	"are"	"candy"	"na"	6	2
"197"	"anon-145.json"	"are"	"earring"	"na"	5	2
"198"	"anon-145.json"	"are"	"fly"	"na"	5	1
"199"	"anon-145.json"	"are"	"hazelnut"	"na"	6	1
"200"	"anon-145.json"	"are"	"ladybug"	"na"	6	1
"201"	"anon-145.json"	"are"	"pill"	"na"	6	1
"202"	"anon-145.json"	"are"	"pin"	"na"	6	1
"203"	"anon-145.json"	"are"	"seed"	"na"	6	2
"204"	"anon-145.json"	"are"	"tack"	"na"	6	1
"205"	"anon-148.json"	"are"	"ant"	"na"	5	1
"206"	"anon-148.json"	"are"	"bean"	"na"	5	1
"207"	"anon-148.json"	"are"	"blueberry"	"na"	5	2
